No,일자,택배지점,터미널,집배점,배송완료 대상건수,배송 예정시간내 건수,배송 예정 시간내 완료율
1.0,20260518,강릉,간성,강원 고성(집),189.0,149.0,78.8%
2.0,20260518,강릉,간성,거진(집),172.0,140.0,81.4%
3.0,20260518,강릉,강릉,강릉교동(집),630.0,619.0,98.3%
4.0,20260518,강릉,강릉,강릉입암(집),351.0,347.0,98.9%
5.0,20260518,강릉,강릉,강릉중앙(집),268.0,257.0,95.9%
6.0,20260518,강릉,강릉,강릉홍제(집),295.0,294.0,99.7%
7.0,20260518,강릉,강릉,주문진(집),250.0,222.0,88.8%
8.0,20260518,강릉,강릉,포남(집),330.0,330.0,100%
9.0,20260518,강릉,동해,남동해(집),433.0,432.0,99.8%
10.0,20260518,강릉,동해,동해(집),483.0,418.0,86.5%
11.0,20260518,강릉,삼척,삼척(집),554.0,513.0,92.6%
12.0,20260518,강릉,속초,속초설악(집),384.0,354.0,92.2%
13.0,20260518,강릉,속초,속초양양(집),1040.0,762.0,73.3%
14.0,20260518,강북,강북,미아(집),1763.0,1286.0,72.9%
15.0,20260518,강북,강북,번동(집),390.0,301.0,77.2%
16.0,20260518,강북,고암(노원),노원(집),3183.0,2686.0,84.4%
17.0,20260518,강북,고암(노원),중계(집),765.0,750.0,98%
18.0,20260518,강북,도봉,도봉(집),1678.0,1339.0,79.8%
19.0,20260518,강북,도봉,창동(집),844.0,647.0,76.7%
20.0,20260518,강북,의정부,가능(집),2032.0,1714.0,84.4%
21.0,20260518,강북,의정부,의정부(집),632.0,559.0,88.4%
22.0,20260518,강북,의정부,의정부용현(집),725.0,708.0,97.7%
23.0,20260518,강북,의정부,호원(집),753.0,731.0,97.1%
24.0,20260518,강서,강서,강서공항(집),410.0,399.0,97.3%
25.0,20260518,강서,강서,마곡(집),727.0,514.0,70.7%
26.0,20260518,강서,강서,방화(집),891.0,855.0,96%
27.0,20260518,강서,강화,강화교동(집),447.0,393.0,87.9%
28.0,20260518,강서,강화,강화삼산(집),395.0,323.0,81.8%
29.0,20260518,강서,김포,김포구래(집),2143.0,1681.0,78.4%
30.0,20260518,강서,김포,김포장기(집),1137.0,904.0,79.5%
31.0,20260518,강서,김포2,김포대곶(집),736.0,676.0,91.8%
32.0,20260518,강서,김포2,김포마산(집),637.0,531.0,83.4%
33.0,20260518,강서,김포2,김포양촌(집),541.0,532.0,98.3%
34.0,20260518,강서,김포2,김포운양(집),794.0,754.0,95%
35.0,20260518,강서,목동,등촌(집),972.0,901.0,92.7%
36.0,20260518,강서,목동,신목동(집),771.0,682.0,88.5%
37.0,20260518,강서,신월,목일(집),274.0,240.0,87.6%
38.0,20260518,강서,신월,양천신월(집),871.0,719.0,82.5%
39.0,20260518,강서,신월,화곡(집),1339.0,1298.0,96.9%
40.0,20260518,강서,양천,신목(집),421.0,392.0,93.1%
